Timestamp,Mean,Variance,StdDev,label
2025-05-12 10:13:30,-49,0.8,0.894427191,motion
2025-05-12 10:13:31,-48.8,0.56,0.7483314774,motion
2025-05-12 10:13:32,-49,0.8,0.894427191,motion
2025-05-12 10:13:33,-48,2.8,1.673320053,motion
2025-05-12 10:13:34,-47.8,2.96,1.720465053,motion
2025-05-12 10:13:35,-47.6,3.04,1.743559577,motion
2025-05-12 10:13:36,-47.2,2.56,1.6,motion
2025-05-12 10:13:37,-46.8,0.96,0.9797958971,motion
2025-05-12 10:13:38,-47.4,0.24,0.4898979486,still
2025-05-12 10:13:39,-47.2,0.56,0.7483314774,motion
2025-05-12 10:13:40,-47,0.8,0.894427191,motion
2025-05-12 10:13:41,-46.8,0.96,0.9797958971,motion
2025-05-12 10:13:42,-46.4,0.64,0.8,motion
2025-05-12 10:13:43,-46,0,0,still
2025-05-12 10:13:44,-46,0,0,still
2025-05-12 10:13:45,-46.2,0.16,0.4,still
2025-05-12 10:13:46,-46.4,0.24,0.4898979486,still
2025-05-12 10:13:47,-46.4,0.24,0.4898979486,still
2025-05-12 10:13:48,-46.6,0.24,0.4898979486,still
2025-05-12 10:13:49,-46.6,0.24,0.4898979486,still
2025-05-12 10:13:50,-46.6,0.24,0.4898979486,still
2025-05-12 10:13:51,-46.6,0.24,0.4898979486,still
2025-05-12 10:13:52,-47,0.4,0.632455532,motion
2025-05-12 10:13:53,-47.2,0.56,0.7483314774,motion
2025-05-12 10:13:54,-47.6,0.24,0.4898979486,still
2025-05-12 10:13:55,-47.8,0.16,0.4,still
2025-05-12 10:13:56,-48,0,0,still
2025-05-12 10:13:57,-48,0,0,still
2025-05-12 10:13:58,-48,0,0,still
2025-05-12 10:13:59,-47.4,1.44,1.2,motion
2025-05-12 10:14:00,-46.8,2.16,1.469693846,motion
2025-05-12 10:14:01,-46.4,1.84,1.356465997,motion
2025-05-12 10:14:02,-46.2,1.36,1.166190379,motion
2025-05-12 10:14:03,-46.2,1.36,1.166190379,motion
2025-05-12 10:14:04,-46.8,1.36,1.166190379,motion
